"CubeId";"BSTA@SNB.MONA_US.BIL.AKT.HYP"
"PublishingDate";"2026-02-23 09:49"

"Date";"KONSOLIDIERUNGSSTUFE";"INLANDAUSLAND";"WAEHRUNG";"SEKTORESVG";"BANKENGRUPPE";"Value"
"2014-12";"U";"I";"CHF";"PHA";"A40";"644030000"
"2015-01";"U";"I";"CHF";"PHA";"A40";"646591000"
"2015-02";"U";"I";"CHF";"PHA";"A40";"647848000"
"2015-03";"U";"I";"CHF";"PHA";"A40";"649623000"
"2015-04";"U";"I";"CHF";"PHA";"A40";"651218000"
"2015-05";"U";"I";"CHF";"PHA";"A40";"653219000"
"2015-06";"U";"I";"CHF";"PHA";"A40";"654776000"
"2015-07";"U";"I";"CHF";"PHA";"A40";"656877000"
"2015-08";"U";"I";"CHF";"PHA";"A40";"658277000"
"2015-09";"U";"I";"CHF";"PHA";"A40";"659664000"
"2015-10";"U";"I";"CHF";"PHA";"A40";"661461000"
"2015-11";"U";"I";"CHF";"PHA";"A40";"664718855.27634"
"2015-12";"U";"I";"CHF";"PHA";"A40";"665160874.130705"
"2016-01";"U";"I";"CHF";"PHA";"A40";"666949506.166633"
"2016-02";"U";"I";"CHF";"PHA";"A40";"668396209.773412"
"2016-03";"U";"I";"CHF";"PHA";"A40";"669517515.700889"
"2016-04";"U";"I";"CHF";"PHA";"A40";"671007744.091287"
"2016-05";"U";"I";"CHF";"PHA";"A40";"672603254.652982"
"2016-06";"U";"I";"CHF";"PHA";"A40";"674630266.973668"
"2016-07";"U";"I";"CHF";"PHA";"A40";"676237162.445294"
"2016-08";"U";"I";"CHF";"PHA";"A40";"677673536.335121"
"2016-09";"U";"I";"CHF";"PHA";"A40";"679617892.492805"
"2016-10";"U";"I";"CHF";"PHA";"A40";"680679245.086949"
"2016-11";"U";"I";"CHF";"PHA";"A40";"682161277.246567"
"2016-12";"U";"I";"CHF";"PHA";"A40";"682606960.385703"
"2017-01";"U";"I";"CHF";"PHA";"A40";"684043952.721263"
"2017-02";"U";"I";"CHF";"PHA";"A40";"685169252.877113"
"2017-03";"U";"I";"CHF";"PHA";"A40";"686851173.387529"
"2017-04";"U";"I";"CHF";"PHA";"A40";"687882562.69946"
"2017-05";"U";"I";"CHF";"PHA";"A40";"689633129.126341"
"2017-06";"U";"I";"CHF";"PHA";"A40";"691021981.351005"
"2017-07";"U";"I";"CHF";"PHA";"A40";"692521855.141924"
"2017-08";"U";"I";"CHF";"PHA";"A40";"693988990.747933"
"2017-09";"U";"I";"CHF";"PHA";"A40";"695242984.369238"
"2017-10";"U";"I";"CHF";"PHA";"A40";"696936087.95065"
"2017-11";"U";"I";"CHF";"PHA";"A40";"698467628.744328"
"2017-12";"U";"I";"CHF";"PHA";"A40";"699480456.218707"
"2018-01";"U";"I";"CHF";"PHA";"A40";"700776361.99774"
"2018-02";"U";"I";"CHF";"PHA";"A40";"702207747.848335"
"2018-03";"U";"I";"CHF";"PHA";"A40";"703981765.990079"
"2018-04";"U";"I";"CHF";"PHA";"A40";"705506335.956967"
"2018-05";"U";"I";"CHF";"PHA";"A40";"707778576.640461"
"2018-06";"U";"I";"CHF";"PHA";"A40";"709398630.455885"
"2018-07";"U";"I";"CHF";"PHA";"A40";"711163283.504201"
"2018-08";"U";"I";"CHF";"PHA";"A40";"713089710.93389"
"2018-09";"U";"I";"CHF";"PHA";"A40";"714426994.077211"
"2018-10";"U";"I";"CHF";"PHA";"A40";"716441664.219842"
"2018-11";"U";"I";"CHF";"PHA";"A40";"718013609.663942"
"2018-12";"U";"I";"CHF";"PHA";"A40";"719105596.882168"
"2019-01";"U";"I";"CHF";"PHA";"A40";"721207432.598321"
"2019-02";"U";"I";"CHF";"PHA";"A40";"721658972.144052"
"2019-03";"U";"I";"CHF";"PHA";"A40";"723347068.996954"
"2019-04";"U";"I";"CHF";"PHA";"A40";"724942367.839361"
"2019-05";"U";"I";"CHF";"PHA";"A40";"726896927.194123"
"2019-06";"U";"I";"CHF";"PHA";"A40";"728227299.922197"
"2019-07";"U";"I";"CHF";"PHA";"A40";"730818138.110852"
"2019-08";"U";"I";"CHF";"PHA";"A40";"732463478.802679"
"2019-09";"U";"I";"CHF";"PHA";"A40";"734293005.44097"
"2019-10";"U";"I";"CHF";"PHA";"A40";"735612151.922965"
"2019-11";"U";"I";"CHF";"PHA";"A40";"737179986.879145"
"2019-12";"U";"I";"CHF";"PHA";"A40";"737406054.511319"
"2020-01";"U";"I";"CHF";"PHA";"A40";"739412645.650097"
"2020-02";"U";"I";"CHF";"PHA";"A40";"740999970.816537"
"2020-03";"U";"I";"CHF";"PHA";"A40";"742415867.408963"
"2020-04";"U";"I";"CHF";"PHA";"A40";"744125318.6910521"
"2020-05";"U";"I";"CHF";"PHA";"A40";"745515650.815292"
"2020-06";"U";"I";"CHF";"PHA";"A40";"747132804.119195"
"2020-07";"U";"I";"CHF";"PHA";"A40";"749618435.085202"
"2020-08";"U";"I";"CHF";"PHA";"A40";"750994047.397396"
"2020-09";"U";"I";"CHF";"PHA";"A40";"753187755.396272"
"2020-10";"U";"I";"CHF";"PHA";"A40";"755051678.156646"
"2020-11";"U";"I";"CHF";"PHA";"A40";"756909413.636842"
"2020-12";"U";"I";"CHF";"PHA";"A40";"759969110.424882"
"2021-01";"U";"I";"CHF";"PHA";"A40";"761268984.733156"
"2021-02";"U";"I";"CHF";"PHA";"A40";"762665985.075913"
"2021-03";"U";"I";"CHF";"PHA";"A40";"764861248.634343"
"2021-04";"U";"I";"CHF";"PHA";"A40";"767189868.224779"
"2021-05";"U";"I";"CHF";"PHA";"A40";"769432700.603448"
"2021-06";"U";"I";"CHF";"PHA";"A40";"771610217.5055611"
"2021-07";"U";"I";"CHF";"PHA";"A40";"774117194.546926"
"2021-08";"U";"I";"CHF";"PHA";"A40";"775654319.037494"
"2021-09";"U";"I";"CHF";"PHA";"A40";"778147301.437028"
"2021-10";"U";"I";"CHF";"PHA";"A40";"779766690.439657"
"2021-11";"U";"I";"CHF";"PHA";"A40";"781861090.77594"
"2021-12";"U";"I";"CHF";"PHA";"A40";"782807877.122182"
"2022-01";"U";"I";"CHF";"PHA";"A40";"784892533.957427"
"2022-02";"U";"I";"CHF";"PHA";"A40";"786643258.5035113"
"2022-03";"U";"I";"CHF";"PHA";"A40";"788498383.262691"
"2022-04";"U";"I";"CHF";"PHA";"A40";"790387233.492047"
"2022-05";"U";"I";"CHF";"PHA";"A40";"792578076.458515"
"2022-06";"U";"I";"CHF";"PHA";"A40";"794687972.250684"
"2022-07";"U";"I";"CHF";"PHA";"A40";"797173664.654122"
"2022-08";"U";"I";"CHF";"PHA";"A40";"798750004.357448"
"2022-09";"U";"I";"CHF";"PHA";"A40";"800788759.091959"
"2022-10";"U";"I";"CHF";"PHA";"A40";"802148377.700548"
"2022-11";"U";"I";"CHF";"PHA";"A40";"804195592.967542"
"2022-12";"U";"I";"CHF";"PHA";"A40";"804252581.269741"
"2023-01";"U";"I";"CHF";"PHA";"A40";"806038857.358995"
"2023-02";"U";"I";"CHF";"PHA";"A40";"806999178.443892"
"2023-03";"U";"I";"CHF";"PHA";"A40";"808281284.892583"
"2023-04";"U";"I";"CHF";"PHA";"A40";"809344065.864907"
"2023-05";"U";"I";"CHF";"PHA";"A40";"810751743.304973"
"2023-06";"U";"I";"CHF";"PHA";"A40";"811869273.872436"
"2023-07";"U";"I";"CHF";"PHA";"A40";"812774068.528872"
"2023-08";"U";"I";"CHF";"PHA";"A40";"814266861.282071"
"2023-09";"U";"I";"CHF";"PHA";"A40";"815460590.97268"
"2023-10";"U";"I";"CHF";"PHA";"A40";"816858410.190898"
"2023-11";"U";"I";"CHF";"PHA";"A40";"818277927.367735"
"2023-12";"U";"I";"CHF";"PHA";"A40";"817898347.793446"
"2024-01";"U";"I";"CHF";"PHA";"A40";"817582455.103065"
"2024-02";"U";"I";"CHF";"PHA";"A40";"818685648.109381"
"2024-03";"U";"I";"CHF";"PHA";"A40";"819764604.087461"
"2024-04";"U";"I";"CHF";"PHA";"A40";"820975283.851243"
"2024-05";"U";"I";"CHF";"PHA";"A40";"822697327.452569"
"2024-06";"U";"I";"CHF";"PHA";"A40";"824088418.328844"
"2024-07";"U";"I";"CHF";"PHA";"A40";"826052323.976602"
"2024-08";"U";"I";"CHF";"PHA";"A40";"827670494.411906"
"2024-09";"U";"I";"CHF";"PHA";"A40";"829263823.332344"
"2024-10";"U";"I";"CHF";"PHA";"A40";"832479713.95208"
"2024-11";"U";"I";"CHF";"PHA";"A40";"833850080.933172"
"2024-12";"U";"I";"CHF";"PHA";"A40";"833772693.681365"
"2025-01";"U";"I";"CHF";"PHA";"A40";"835218205.059179"
"2025-02";"U";"I";"CHF";"PHA";"A40";"837439284.671135"
"2025-03";"U";"I";"CHF";"PHA";"A40";"838912955.582501"
"2025-04";"U";"I";"CHF";"PHA";"A40";"841770273.645257"
"2025-05";"U";"I";"CHF";"PHA";"A40";"844365288.705686"
"2025-06";"U";"I";"CHF";"PHA";"A40";"846664668.651022"
"2025-07";"U";"I";"CHF";"PHA";"A40";"849235510.189384"
"2025-08";"U";"I";"CHF";"PHA";"A40";"851491692.641061"
"2025-09";"U";"I";"CHF";"PHA";"A40";"853711158.050082"
"2025-10";"U";"I";"CHF";"PHA";"A40";"856640369.989029"
"2025-11";"U";"I";"CHF";"PHA";"A40";"858711392.4919679"
"2025-12";"U";"I";"CHF";"PHA";"A40";"859967353.592541"
